"paper","domain","claims_extracted","high_confidence","f1_score","composite_score","ready_for_production","processed_at"
"Wake Effects on Wind Farm Performance","wind_energy",6,4,0.727,0.836,TRUE,"2026-05-29 12:08:20.583583"
"Renewable Energy Systems and Grid Integration","wind_energy",5,4,0.8,0.88,TRUE,"2026-05-29 12:08:20.593717"
"Graph Neural Networks for Wind Farm Dynamics","wind_energy",8,6,0.8,0.88,TRUE,"2026-05-29 12:08:20.597002"
"Control Strategies for Wind Farm Optimization","wind_energy",5,4,0.8,0.88,TRUE,"2026-05-29 12:08:20.599431"
"Wind Farm Control with Conflicting Feedback","wind_energy",6,4,0.8,0.88,TRUE,"2026-05-29 12:08:20.602187"
"Indirect Effects in Wind Farms","wind_energy",6,4,0.727,0.836,TRUE,"2026-05-29 12:08:20.604879"
"Multi-mechanism Effects in Wind Farms","wind_energy",5,4,0.8,0.88,TRUE,"2026-05-29 12:08:20.607256"
"Complex Wind Farm System Dynamics","wind_energy",10,8,0.8,0.88,TRUE,"2026-05-29 12:08:20.61077"
"Minimal Wind Farm Analysis","wind_energy",4,2,0.667,0.8,TRUE,"2026-05-29 12:08:20.613461"
"Energy Systems: Wind and Solar Integration","wind_energy",8,6,0.8,0.88,TRUE,"2026-05-29 12:08:20.616931"
"Complex Wind Farm Control with Uncertainty","wind_energy",5,4,0.889,0.933,TRUE,"2026-05-29 12:08:20.619601"
